evaporation_rate,ants,steps,time_s,success,food_removed,food_collected,total_food,removed_pct,returned_pct,run
0.920211,70,811,14.144919157028198,True,76,63,100,76.0,63.0,7
0.920211,70,691,12.154181480407715,True,75,66,100,75.0,66.0,8
0.920211,70,664,11.640671968460083,True,75,58,100,75.0,58.0,9
0.920211,70,996,17.15256953239441,True,75,68,100,75.0,68.0,10
0.946474,70,881,15.248280048370361,True,75,67,100,75.0,67.0,1
0.946474,70,1010,17.279853343963623,True,75,69,100,75.0,69.0,2
0.946474,70,1178,20.36022424697876,True,75,65,100,75.0,65.0,3
0.946474,70,954,16.6976637840271,True,75,59,100,75.0,59.0,4
0.946474,70,848,15.486254930496216,True,75,71,100,75.0,71.0,5
0.946474,70,825,14.265419006347656,True,75,67,100,75.0,67.0,6
0.946474,70,783,13.602246761322021,True,75,69,100,75.0,69.0,7
0.946474,70,1131,19.428635358810425,True,75,71,100,75.0,71.0,8
0.946474,70,750,13.360247373580933,True,75,67,100,75.0,67.0,9
0.946474,70,742,12.994907855987549,True,75,63,100,75.0,63.0,10
0.972737,70,979,17.314422369003296,True,75,70,100,75.0,70.0,1
0.972737,70,802,13.84592056274414,True,75,71,100,75.0,71.0,2
0.972737,70,754,13.80256962776184,True,76,60,100,76.0,60.0,3
0.972737,70,692,12.525773763656616,True,75,71,100,75.0,71.0,4
0.972737,70,910,16.13288950920105,True,75,63,100,75.0,63.0,5
0.972737,70,1032,19.084566593170166,True,75,62,100,75.0,62.0,6
0.972737,70,715,13.685829639434814,True,75,66,100,75.0,66.0,7
0.972737,70,911,15.772324085235596,True,75,69,100,75.0,69.0,8
0.972737,70,1015,17.707764387130737,True,75,63,100,75.0,63.0,9
0.972737,70,818,14.926701068878174,True,75,69,100,75.0,69.0,10
0.999,70,1063,20.332597732543945,True,75,67,100,75.0,67.0,1
0.999,70,520,10.9884672164917,True,75,66,100,75.0,66.0,2
0.999,70,1028,19.193376064300537,True,75,67,100,75.0,67.0,3
0.999,70,740,14.578588247299194,True,75,59,100,75.0,59.0,4
0.999,70,1004,17.26214838027954,True,75,68,100,75.0,68.0,5
0.999,70,859,12.78766131401062,True,75,60,100,75.0,60.0,6
0.999,70,899,8.335768699645996,True,75,68,100,75.0,68.0,7
0.999,70,983,8.57153844833374,True,75,66,100,75.0,66.0,8
0.999,70,662,5.826882362365723,True,76,68,100,76.0,68.0,9
0.999,70,648,5.858112335205078,True,75,55,100,75.0,55.0,10
